sno,c_ticks,c_time,p_ticks,p_time
1,259864,25.9864,1652623,165.2623
2,231343,23.1343,1519625,151.9625
3,230294,23.0294,1554967,155.4967
4,256898,25.6898,1544669,154.4669
5,272397,27.2397,1534509,153.4509
6,293876,29.3876,1542913,154.2913
7,230182,23.0182,1536561,153.6561
8,248111,24.8111,1534902,153.4902
9,258534,25.8534,1556181,155.6181
10,247207,24.7207,1566491,156.6491
11,254735,25.4735,1509100,150.91
12,245237,24.5237,1549245,154.9245
13,311718,31.1718,1585406,158.5406
14,225080,22.508,1690090,169.009
15,267452,26.7452,1724269,172.4269
16,298710,29.871,1759637,175.9637
1,228155,22.8155,1202761,120.2761
2,238677,23.8677,1194574,119.4574
3,252870,25.287,1190627,119.0627
4,246701,24.6701,1192111,119.2111
5,252257,25.2257,1143291,114.3291
6,255927,25.5927,1188059,118.8059
7,220300,22.03,1222132,122.2132
8,304641,30.4641,1148712,114.8712
9,263513,26.3513,1204346,120.4346
10,241738,24.1738,1248075,124.8075
